city,LAT,LON,UNSAFE
Block C,28.674388,77.087626,0.0
B3 Block,28.664371999999997,77.101573,0.0
A1 Block,28.676083000000002,77.09908399999999,0.0
Block 12,28.662433,77.090228,1.0
Block 4,28.665031,77.010524,1.0
A4 Block,28.673127,77.111944,1.0
Guru Harkishan Nagar,28.673766999999998,77.084005,0.0
B4 Block,28.666161,77.087861,1.0
State Bank Nagar,28.661416,77.095807,0.0
B1 Block,28.669549,77.110271,0.0
LIC Colony,28.663034999999997,77.085379,0.0
A2 Block,28.672826,77.100314,0.0
Block BG 8,28.662132,77.101729,0.0
Sunder Vihar,28.665915999999996,77.089449,0.0
A5 Block,28.676214,77.103447,0.0
Peera Garhi,28.676294,77.091526,1.0
Jwalapuri,28.677837,77.07809300000001,0.0
Inder Enclave,28.680252000000003,77.08465600000001,0.0
PVC Market,28.673417999999998,77.078691,0.0
